# Created by ield								
# On 11,11,2020								
# unit: meters								
# design frequency: 60000000 Hz								
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
6,8	-0.0048652	-0.0098652	0	1	-75.8205	0	0	0
6,9	-0.0023652	-0.0098652	0	1	-78.922	0	0	0
6,10	0.00013482	-0.0098652	0	1	-82.0234	0	0	0
6,11	0.0026348	-0.0098652	0	1	-85.1249	0	0	0
6,12	0.0051348	-0.0098652	0	1	-88.2264	0	0	0
6,13	0.0076348	-0.0098652	0	1	-91.3278	0	0	0
6,14	0.010135	-0.0098652	0	1	-94.4293	0	0	0
6,15	0.012635	-0.0098652	0	1	-97.5308	0	0	0
6,16	0.015135	-0.0098652	0	0	-100.6322	0	0	0
6,17	0.017635	-0.0098652	0	1	-103.7337	0	0	0
6,18	0.020135	-0.0098652	0	0	-106.8352	0	0	0
7,1	-0.022365	-0.0073652	0	1	-61.7117	0	0	0
7,2	-0.019865	-0.0073652	0	1	-63.9132	0	0	0
7,3	-0.017365	-0.0073652	0	1	-66.1146	0	0	0
7,4	-0.014865	-0.0073652	0	1	-68.3161	0	0	0
7,5	-0.012365	-0.0073652	0	1	-70.5176	0	0	0
7,6	-0.0098652	-0.0073652	0	1	-72.719	0	0	0
7,7	-0.0073652	-0.0073652	0	1	-74.9205	0	0	0
7,8	-0.0048652	-0.0073652	0	1	-77.122	0	0	0
7,9	-0.0023652	-0.0073652	0	0	-79.3234	0	0	0
7,10	0.00013482	-0.0073652	0	1	-81.5249	0	0	0
7,11	0.0026348	-0.0073652	0	1	-83.7264	0	0	0
7,12	0.0051348	-0.0073652	0	0	-85.9278	0	0	0
7,13	0.0076348	-0.0073652	0	0	-88.1293	0	0	0
7,14	0.010135	-0.0073652	0	1	-90.3308	0	0	0
7,15	0.012635	-0.0073652	0	1	-92.5322	0	0	0
7,16	0.015135	-0.0073652	0	1	-94.7337	0	0	0
7,17	0.017635	-0.0073652	0	1	-96.9352	0	0	0
7,18	0.020135	-0.0073652	0	1	-99.1366	0	0	0
8,1	-0.022365	-0.0048652	0	1	-69.3132	0	0	0
8,2	-0.019865	-0.0048652	0	1	-70.6146	0	0	0
8,3	-0.017365	-0.0048652	0	1	-71.9161	0	0	0
8,4	-0.014865	-0.0048652	0	1	-73.2176	0	0	0
8,5	-0.012365	-0.0048652	0	1	-74.519	0	0	0
8,6	-0.0098652	-0.0048652	0	1	-75.8205	0	0	0
8,7	-0.0073652	-0.0048652	0	0	-77.122	0	0	0
8,8	-0.0048652	-0.0048652	0	1	-78.4234	0	0	0
8,9	-0.0023652	-0.0048652	0	1	-79.7249	0	0	0
8,10	0.00013482	-0.0048652	0	1	-81.0264	0	0	0
8,11	0.0026348	-0.0048652	0	1	-82.3278	0	0	0
8,12	0.0051348	-0.0048652	0	0	-83.6293	0	0	0
8,13	0.0076348	-0.0048652	0	1	-84.9308	0	0	0
8,14	0.010135	-0.0048652	0	1	-86.2322	0	0	0
8,15	0.012635	-0.0048652	0	0	-87.5337	0	0	0
8,16	0.015135	-0.0048652	0	1	-88.8352	0	0	0
8,17	0.017635	-0.0048652	0	1	-90.1366	0	0	0
8,18	0.020135	-0.0048652	0	1	-91.4381	0	0	0
9,1	-0.022365	-0.0023652	0	0	-76.9146	0	0	0
9,2	-0.019865	-0.0023652	0	1	-77.3161	0	0	0
9,3	-0.017365	-0.0023652	0	0	-77.7176	0	0	0
9,4	-0.014865	-0.0023652	0	1	-78.119	0	0	0
9,5	-0.012365	-0.0023652	0	1	-78.5205	0	0	0
9,6	-0.0098652	-0.0023652	0	0	-78.922	0	0	0
9,7	-0.0073652	-0.0023652	0	1	-79.3234	0	0	0
9,8	-0.0048652	-0.0023652	0	1	-79.7249	0	0	0
9,9	-0.0023652	-0.0023652	0	1	-80.1264	0	0	0
9,10	0.00013482	-0.0023652	0	1	-80.5278	0	0	0
9,11	0.0026348	-0.0023652	0	1	-80.9293	0	0	0
