#Created by ield								
#On 11,11,2020								
#unit: meters								
#design frequency: 60000000 Hz								
#Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	0	0	0	0.44698	0	0	0	0
1,2	0.0025	0	0	0.45452	0.45	0	0	0
1,3	0.005	0	0	0.47614	0.9	0	0	0
1,4	0.0075	0	0	0.50891	1.35	0	0	0
1,5	0.01	0	0	0.54841	1.8	0	0	0
7,3	0.005	0.015	0	0.66691	14.4	0	0	0
7,4	0.0075	0.015	0	0.71281	20.25	0	0	0
7,5	0.01	0.015	0	0.76814	26.1	0	0	0
7,6	0.0125	0.015	0	0.82541	31.95	0	0	0
7,7	0.015	0.015	0	0.8769	37.8	0	0	0
7,8	0.0175	0.015	0	0.91565	43.65	0	0	0
7,9	0.02	0.015	0	0.93643	49.5	0	0	0
7,10	0.0225	0.015	0	0.93643	55.35	0	0	0
7,11	0.025	0.015	0	0.91565	61.2	0	0	0
7,12	0.0275	0.015	0	0.8769	67.05	0	0	0
7,13	0.03	0.015	0	0.82541	72.9	0	0	0
7,14	0.0325	0.015	0	0.76814	78.75	0	0	0
7,15	0.035	0.015	0	0.71281	84.6	0	0	0
7,16	0.0375	0.015	0	0.66691	90.45	0	0	0
7,17	0.04	0.015	0	0.63663	96.3	0	0	0
7,18	0.0425	0.015	0	0	102.15	0	0	0
8,1	0	0.0175	0	0.65373	3.15	0	0	0
8,2	0.0025	0.0175	0	0.66477	9.9	0	0	0
8,3	0.005	0.0175	0	0.69638	16.65	0	0	0
8,4	0.0075	0.0175	0	0.74431	23.4	0	0	0
8,5	0.01	0.0175	0	0.80208	30.15	0	0	0
8,6	0.0125	0.0175	0	0.86189	36.9	0	0	0
8,7	0.015	0.0175	0	0.91565	43.65	0	0	0
8,8	0.0175	0.0175	0	0.95611	50.4	0	0	0
8,9	0.02	0.0175	0	0.97781	57.15	0	0	0
8,10	0.0225	0.0175	0	0.97781	63.9	0	0	0
8,11	0.025	0.0175	0	0.95611	70.65	0	0	0
8,12	0.0275	0.0175	0	0.91565	77.4	0	0	0
8,13	0.03	0.0175	0	0.86189	84.15	0	0	0
8,14	0.0325	0.0175	0	0.80208	90.9	0	0	0
8,15	0.035	0.0175	0	0.74431	97.65	0	0	0
8,16	0.0375	0.0175	0	0.69638	104.4	0	0	0
8,17	0.04	0.0175	0	0.66477	111.15	0	0	0
8,18	0.0425	0.0175	0	0	117.9	0	0	0
9,1	0	0.02	0	0.66856	3.6	0	0	0
9,2	0.0025	0.02	0	0.67985	11.25	0	0	0
9,3	0.005	0.02	0	0.71219	18.9	0	0	0
9,4	0.0075	0.02	0	0.7612	26.55	0	0	0
9,5	0.01	0.02	0	0.82028	34.2	0	0	0
9,6	0.0125	0.02	0	0.88145	41.85	0	0	0
9,7	0.015	0.02	0	0.93643	49.5	0	0	0
9,8	0.0175	0.02	0	0.97781	57.15	0	0	0
9,9	0.02	0.02	0	1	64.8	0	0	0
9,10	0.0225	0.02	0	1	72.45	0	0	0
9,11	0.025	0.02	0	0.97781	80.1	0	0	0
9,12	0.0275	0.02	0	0.93643	87.75	0	0	0
9,13	0.03	0.02	0	0.88145	95.4	0	0	0
9,14	0.0325	0.02	0	0.82028	103.05	0	0	0
9,15	0.035	0.02	0	0.7612	110.7	0	0	0
9,16	0.0375	0.02	0	0.71219	118.35	0	0	0
9,17	0.04	0.02	0	0.67985	126	0	0	0
9,18	0.0425	0.02	0	0	133.65	0	0	0
10,1	0	0.0225	0	0.66856	4.05	0	0	0
10,2	0.0025	0.0225	0	0.67985	12.6	0	0	0
10,3	0.005	0.0225	0	0.71219	21.15	0	0	0
10,4	0.0075	0.0225	0	0.7612	29.7	0	0	0
10,5	0.01	0.0225	0	0.82028	38.25	0	0	0
10,6	0.0125	0.0225	0	0.88145	46.8	0	0	0
10,7	0.015	0.0225	0	0.93643	55.35	0	0	0
10,8	0.0175	0.0225	0	0.97781	63.9	0	0	0
10,9	0.02	0.0225	0	1	72.45	0	0	0
10,10	0.0225	0.0225	0	1	81	0	0	0
10,11	0.025	0.0225	0	0.97781	89.55	0	0	0
10,12	0.0275	0.0225	0	0.93643	98.1	0	0	0
10,13	0.03	0.0225	0	0.88145	106.65	0	0	0
10,14	0.0325	0.0225	0	0.82028	115.2	0	0	0
10,15	0.035	0.0225	0	0.7612	123.75	0	0	0
10,16	0.0375	0.0225	0	0.71219	132.3	0	0	0
10,17	0.04	0.0225	0	0.67985	140.85	0	0	0
10,18	0.0425	0.0225	0	0	149.4	0	0	0
11,1	0	0.025	0	0.65373	4.5	0	0	0
11,2	0.0025	0.025	0	0.66477	13.95	0	0	0
11,3	0.005	0.025	0	0.69638	23.4	0	0	0
11,4	0.0075	0.025	0	0.74431	32.85	0	0	0
11,5	0.01	0.025	0	0.80208	42.3	0	0	0
11,6	0.0125	0.025	0	0.86189	51.75	0	0	0
11,7	0.015	0.025	0	0.91565	61.2	0	0	0
11,8	0.0175	0.025	0	0.95611	70.65	0	0	0
11,9	0.02	0.025	0	0.97781	80.1	0	0	0
11,10	0.0225	0.025	0	0.97781	89.55	0	0	0
11,11	0.025	0.025	0	0.95611	99	0	0	0
11,12	0.0275	0.025	0	0.91565	108.45	0	0	0
